Building_ID,Building_Type,Governorate,Neighborhood,Day_of_Week,Occupancy_Level,Appliances_Usage_Level,SquareFootage,Last_Maintenance_Date,Average_Temperature,Energy_Consumption
BLD-1225-DD,Commercial,Cairo,%46Maadi,sunday,Medium,High,34497m2,2021-12-21,43.41,4674.31 kWh
BLD-1226-XR,Residential,,=Gleem74,SuNday,Low,Low,15858,2021-09-08,25.23,2482.94 kWh
BLD-1227-EI,,,=Heliopolis26,monDAY,Low,High,4262,2020-08-11,20.0,2406.04 kWh
BLD-1228-JT,Industrial,Giza,$Dokki96,SunDay,Medium,High,9146,2024-11-25,,4103.69 kWh
BLD-1229-GW,Industrial,Giza,(Dokki74,Tuesday,Medium,Medium,16077,2024-05-03,38.82,4230.79 kWh
BLD-1230-KG,Industrial,Cairo,@49Maadi,saturDAY,Medium,Low,24660,2023-05-27,31.26,4034.64 kWh
BLD-1231-VU,Commercial,Cairo,$Maadi38,SuNday,Low,Low,48338m2,2024-05-24,39.6,4693.8 kWh
BLD-1232-IQ,Commercial,Giza,)80Mohandessin,SaTurday,High,Medium,24577,2023-02-19,37.3,4446.22 kWh
BLD-1233-PI,,Alexandria,*22Gleem,MONDAY,Medium,Low,11803m2,2020-01-01,21.14,2342.32 kWh
BLD-1234-BC,,Cairo,&Heliopolis99,sunday,Low,Medium,16146m2,2021-04-22,40.88,3498.27 kWh
BLD-1235-UN,Industrial,Giza,Dokki!3,SUNDAY,Medium,Low,11671m2,2021-09-20,35.33,3699.87 kWh
BLD-1236-IB,Residential,Alexandria,Smouha,thursDAY,High,Low,17775,2020-01-01,20.6,3253.47 kWh
BLD-1237-AK,Commercial,Giza,!40Mohandessin,FRIday,High,Medium,23411m2,2024-12-27,,4558.07 kWh
BLD-1238-YE,Industrial,Cairo,$54Maadi,SaturDay,Medium,Medium,43380m2,2023-07-28,40.43,5465.54 kWh
BLD-1239-UI,Residential,,Mohandessin^59,saturday,Medium,Medium,27088m2,2021-04-01,37.3,3859.59 kWh
BLD-1240-FX,Commercial,Alexandria,Smouha,THURSDAY,High,High,34433,2022-09-15,37.98,5164.94 kWh
BLD-1241-OR,,Cairo,-New Cairo95,friday,High,Low,12798m2,2022-01-14,30.81,3513.41 kWh
BLD-1242-WN,Residential,Giza,&13Dokki,SUNDAY,Medium,High,15843,2021-11-28,,3279.51 kWh
BLD-1243-RA,Commercial,Giza,Mohandessin)21,SaTurday,Medium,High,9946,2020-01-01,35.54,3565.7 kWh
BLD-1244-DC,Residential,Giza,$Dokki56,Saturday,Medium,High,22542m2,2020-07-01,28.84,3984.2 kWh
BLD-1245-WE,Residential,Alexandria,Gleem%32,Saturday,Low,Low,15096,2020-01-01,24.04,2580.42 kWh
BLD-1246-RB,Commercial,Cairo,%3New Cairo,SunDay,High,High,40911,2023-02-09,43.31,5794.83 kWh
BLD-1247-LS,Commercial,,%38Smouha,wednESDAY,High,Medium,44981,2024-12-31,39.88,5369.95 kWh
BLD-1248-RE,Residential,Giza,_Dokki83,thursday,Medium,Medium,33897m2,2023-11-29,,4232.44 kWh
BLD-1249-NE,Commercial,Alexandria,&Gleem68,thursDAY,Medium,High,35935,2024-04-28,,5018.25 kWh
BLD-1250-BJ,Industrial,Alexandria,=Smouha42,SUNDAY,Medium,High,1314m2,2023-02-19,27.73,3850.11 kWh
BLD-1251-LZ,Residential,Alexandria,Gleem-20,SuNday,Medium,Medium,8283m2,2022-02-28,-4.4,2755.75 kWh
BLD-1252-BL,Residential,Giza,Dokki@23,FriDay,Low,Low,2613m2,2020-01-01,29.55,1683.95 kWh
BLD-1253-GV,Commercial,Giza,Dokki+48,Sunday,High,High,10957,2021-01-01,,4277.54 kWh
BLD-1254-HV,Industrial,Alexandria,)75Gleem,Sunday,Low,High,35301,2024-05-15,35.97,5367.9 kWh
BLD-1255-DL,Residential,Alexandria,+1Smouha,FriDay,Low,Low,23765,2020-12-28,24.44,2752.62 kWh
BLD-1256-YR,Industrial,Giza,_Dokki62,wednesday,Medium,Medium,32085,2021-04-15,46.69,5074.24 kWh
BLD-1257-NT,,Alexandria,Smouha,wednESDAY,Low,Medium,4238,2020-03-15,26.55,3256.52 kWh
BLD-1258-XE,Commercial,Alexandria,Gleem(10,SATURDAY,High,Low,49090,2022-12-16,44.94,5390.61 kWh
BLD-1259-HF,Industrial,Giza,Dokki,MonDay,Medium,Medium,7237,2021-06-20,38.53,4114.45 kWh
BLD-1260-ZZ,Industrial,Giza,&76Mohandessin,Saturday,Low,Low,16376,2022-05-15,,3390.53 kWh
BLD-1261-FN,Industrial,Cairo,^Heliopolis1,SunDay,Medium,Medium,45920m2,2021-12-17,45.47,5842.72 kWh
BLD-1262-AF,Residential,,(Dokki35,Saturday,Medium,Low,34242m2,2023-06-21,20.0,3750.37 kWh
BLD-1263-XK,Residential,,Mohandessin*1,SaTurday,Low,Low,7065m2,2021-03-06,20.0,2020.15 kWh
BLD-1264-ZN,,Cairo,_9Heliopolis,Sunday,Low,Low,47328,2023-11-02,32.48,3883.46 kWh
BLD-1265-ZV,Residential,Giza,^45Dokki,MONDAY,Medium,Low,3880,2020-06-26,20.0,2130.26 kWh
BLD-1266-XZ,Industrial,Alexandria,Smouha&38,thursday,High,Medium,3868m2,2023-12-22,40.47,3804.34 kWh
BLD-1267-HI,Industrial,Cairo,^Maadi69,saturday,Low,Medium,626m2,2022-01-28,22.29,3093.71 kWh
BLD-1268-FZ,Residential,Cairo,Maadi+1,THursday,High,High,23551,2024-07-15,33.99,4263.39 kWh
BLD-1269-WD,Commercial,,_34Smouha,MONDAY,Low,High,605m2,2023-07-18,27.96,2875.48 kWh
BLD-1270-MB,Industrial,Cairo,_43New Cairo,TuesDay,High,High,12164m2,2024-03-27,,4683 kWh
BLD-1271-PH,Industrial,Alexandria,=Gleem9,friDAY,High,Medium,35698m2,2024-12-31,38.15,5660.75 kWh
BLD-1272-GO,Residential,Giza,&Dokki70,SaturDay,Medium,High,43694m2,2023-08-25,45.45,4950.15 kWh
BLD-1273-LJ,Commercial,,_Mohandessin22,wednESDAY,Low,Medium,21109,2023-06-07,33.43,3845.57 kWh
BLD-1274-ZH,Industrial,Giza,Dokki!94,saturday,High,Low,35867,2022-01-22,37.61,5241.91 kWh
BLD-1275-HA,Industrial,Alexandria,(9Gleem,Saturday,Low,High,10861,2021-04-09,,3809.69 kWh
BLD-1276-VG,Industrial,Cairo,(64Heliopolis,Wednesday,Low,Medium,18271m2,2024-12-06,36.08,4136.67 kWh
BLD-1277-MK,,Giza,Dokki#66,SuNday,High,Low,18174,2020-05-29,33.25,4261.05 kWh
BLD-1278-IC,,,$Dokki84,MoNday,High,Medium,47557m2,2023-10-05,49.4,6383.5 kWh
BLD-1279-YI,Residential,Giza,&52Mohandessin,SATURDAY,Low,High,26010,2020-01-01,29.11,3435.21 kWh
BLD-1280-LU,Industrial,Alexandria,Smouha&13,saturDAY,Medium,Medium,5799m2,2020-05-06,31.42,3446.15 kWh
BLD-1281-QM,Commercial,Giza,Mohandessin,Wednesday,Low,High,26111m2,2022-01-19,40.51,4516.31 kWh
BLD-1282-VR,Residential,,&2New Cairo,TuEsday,High,Medium,22276,2021-06-11,39.97,3757.72 kWh
BLD-1283-KA,Residential,Cairo,Maadi,WednesDay,Low,Medium,49374m2,2023-03-19,32.24,4561.71 kWh
BLD-1284-DI,Industrial,Cairo,=New Cairo79,SUNDAY,Medium,Medium,37930m2,2021-03-16,50.0,5008 kWh
BLD-1285-FS,Commercial,Cairo,Heliopolis,sunday,High,Medium,8573m2,2020-01-16,22.64,3529.25 kWh
BLD-1286-IB,Industrial,Giza,Mohandessin,SATURDAY,Medium,Low,1507,2020-01-01,29.99,3407.54 kWh
BLD-1287-DT,Industrial,,&40Dokki,monday,Medium,Low,23736m2,2024-03-16,39.21,4360.36 kWh
BLD-1288-NL,Commercial,Alexandria,%58Smouha,SaturDay,Medium,High,11316m2,2022-03-21,35.34,3958.7 kWh
BLD-1289-XZ,Industrial,Cairo,Maadi@3,THURSDAY,Medium,High,24252,2024-02-27,-2.75,4908.05 kWh
BLD-1290-KN,Commercial,Alexandria,Gleem,monDAY,Medium,High,7424,2022-12-14,30.53,3537.04 kWh
BLD-1291-TQ,Industrial,Giza,Dokki,WednesDay,High,High,19074m2,2024-12-31,38.42,5017.45 kWh
BLD-1292-DM,Industrial,Cairo,New Cairo,tuesday,Medium,Low,11116,2021-11-01,31.27,3932.56 kWh
BLD-1293-SG,Industrial,,Smouha=2,FRIday,Medium,High,41306,2022-09-06,49.29,5798.61 kWh
BLD-1294-IB,Industrial,Giza,_99Mohandessin,Sunday,Low,High,2242,2020-01-01,32.15,3386.72 kWh
BLD-1295-WN,Commercial,,%8Dokki,SuNday,High,Medium,34520m2,2023-09-22,-3.87,5080.4 kWh
BLD-1296-AQ,Residential,Giza,Dokki,Thursday,Low,Medium,2943m2,2022-09-01,27.97,2318.15 kWh
BLD-1297-ZR,Residential,Cairo,New Cairo,monDAY,Low,High,45123m2,2023-12-20,40.24,4730.23 kWh
BLD-1298-VX,Industrial,Alexandria,Smouha$67,wednesday,Low,High,34657m2,2023-12-14,-2.01,5332.1 kWh
BLD-1299-XX,Residential,Giza,Dokki,friDAY,High,High,42255m2,2022-04-17,44.89,5247.04 kWh
BLD-1300-VG,Commercial,Giza,!79Dokki,thursDAY,Medium,High,12701,2024-05-28,31.58,4157.81 kWh
BLD-1301-LN,Industrial,Cairo,!Maadi56,Thursday,Medium,Medium,46507m2,2023-08-01,42.79,5772.35 kWh
BLD-1302-CV,Industrial,Alexandria,Gleem(17,Saturday,High,Medium,6650m2,2022-01-08,39.35,4265.97 kWh
BLD-1303-KT,Commercial,Alexandria,@Gleem39,THURSDAY,Low,Medium,29421m2,2020-04-12,36.63,3927.4 kWh
BLD-1304-KV,Residential,Giza,%93Dokki,SuNday,Medium,Low,47563m2,2022-09-22,36.45,4357.27 kWh
BLD-1305-DX,,Giza,Dokki,SaTurday,High,High,33782,2024-12-01,41.37,5051.07 kWh
BLD-1306-JQ,Residential,,New Cairo,TuEsday,Medium,High,42474,2024-12-31,46.9,5101.13 kWh
BLD-1307-JV,Industrial,Alexandria,*72Smouha,SuNday,Low,High,27416,2021-01-21,36.53,4785.27 kWh
BLD-1308-NK,Industrial,Cairo,Maadi*62,SUNDAY,Medium,Medium,22091m2,2022-02-04,,4588.3 kWh
BLD-1309-MW,Industrial,Alexandria,!Smouha71,Wednesday,Low,Low,27920,2022-03-01,34.3,4141.78 kWh
BLD-1310-JR,Commercial,Giza,%Mohandessin52,MonDay,High,Medium,2969,2021-09-12,31.07,3631.08 kWh
BLD-1311-EG,Commercial,Cairo,(New Cairo16,THURSDAY,Low,Medium,43506m2,2022-06-04,45.28,4969.79 kWh
BLD-1312-NV,Industrial,Cairo,-New Cairo43,sunday,Low,Medium,23361m2,2024-04-17,39.92,4302.81 kWh
BLD-1313-MV,Commercial,,=Smouha85,SATURDAY,Low,High,28452m2,2020-06-08,,4252.4 kWh
BLD-1314-XF,Industrial,Giza,Mohandessin^13,SATURDAY,Medium,Low,47914,2024-12-31,,5437.17 kWh
BLD-1315-TS,Residential,,_Heliopolis5,WEDNESDAY,Medium,Low,1226m2,2021-08-04,22.9,2137.35 kWh
BLD-1316-JM,Industrial,Alexandria,@20Smouha,SunDay,Low,Low,9166m2,2022-03-09,31.89,3109.29 kWh
BLD-1317-RA,,,)Heliopolis27,wednesday,Medium,High,9283,2021-07-28,30.86,3663.21 kWh
BLD-1318-JJ,Industrial,Cairo,^35Heliopolis,Monday,Medium,Low,7140,2020-07-11,33.98,3707.17 kWh
BLD-1319-GN,Commercial,Giza,Mohandessin&57,sunDAY,High,High,36721m2,2023-12-16,42.03,5338.17 kWh
BLD-1320-ZS,Commercial,,Dokki&0,sunDAY,Low,Low,22092m2,2020-01-01,29.22,3103.65 kWh
BLD-1321-TU,Commercial,Alexandria,!Gleem14,Saturday,High,Low,22026,2023-03-22,36.6,3933.39 kWh
BLD-1322-KO,Commercial,Alexandria,-22Smouha,WednesDay,Medium,Medium,17161m2,2020-06-29,29.54,3820.1 kWh
BLD-1323-OO,Industrial,Cairo,$Heliopolis76,saturDAY,Low,Medium,16741m2,2020-08-19,43.43,3947.61 kWh
BLD-1324-VG,,,Gleem$84,SUNDAY,Medium,Medium,24150,2020-06-26,29.47,3945.47 kWh
BLD-1325-QP,Industrial,Cairo,New Cairo,MonDay,Low,High,35388m2,2023-01-10,37.25,5353.94 kWh
BLD-1326-ZZ,Commercial,Alexandria,)43Gleem,saturday,Low,Medium,6599,2020-01-01,33.96,3097.98 kWh
BLD-1327-XF,Commercial,,New Cairo$14,sunday,Low,Medium,36322,2022-12-16,39.5,4258.49 kWh
BLD-1328-VC,Industrial,Giza,-19Dokki,Wednesday,Low,High,7319m2,2023-02-07,35.34,3708.08 kWh
BLD-1329-JQ,,Cairo,Maadi_95,ThursDay,High,Low,38501,2021-08-07,,5214.85 kWh
BLD-1330-VU,Residential,Giza,&Dokki21,THursday,Medium,Medium,41589,2021-12-26,38.26,4643.44 kWh
BLD-1331-TK,Commercial,,Dokki*78,THursday,Medium,High,45850,2023-09-10,40.14,5590.7 kWh
BLD-1332-CY,Residential,Cairo,Maadi,SunDay,Medium,Medium,23390m2,2023-07-19,31.65,3510.52 kWh
BLD-1333-HV,Commercial,Cairo,Heliopolis%43,tuesDAY,Medium,High,18273m2,2021-12-12,,3928.35 kWh
BLD-1334-JH,Residential,Alexandria,Gleem,SunDay,High,Medium,26885m2,2023-09-25,-1.35,4161.08 kWh
BLD-1335-ZG,Industrial,Alexandria,^Smouha0,MoNday,Medium,Low,33839m2,2021-03-28,,4963.62 kWh
BLD-1336-EA,Industrial,Alexandria,=60Smouha,sunDAY,Low,High,42373m2,2024-06-17,39.43,5422.98 kWh
BLD-1337-BH,Industrial,,+2Heliopolis,saturday,Low,High,47682,2023-06-21,43.36,5691.84 kWh
BLD-1338-PT,Industrial,Giza,Dokki%10,MONDAY,Medium,High,48820m2,2024-03-24,48.87,6047.23 kWh
BLD-1339-YC,Industrial,,)72Dokki,Thursday,Medium,Medium,32732,2023-01-01,38.04,5007.9 kWh
BLD-1340-ON,Residential,,&71Mohandessin,SaTurday,Medium,Low,49969,2023-10-05,33.53,4468.13 kWh
BLD-1341-US,,,%51New Cairo,monday,High,Low,37009m2,2024-12-31,38.21,4448.42 kWh
BLD-1342-GW,Residential,,New Cairo&9,SaturDay,Low,Low,33056m2,2022-10-14,30.72,3238.18 kWh
BLD-1343-WM,Commercial,Alexandria,+89Gleem,SaturDay,High,Low,3483m2,2021-01-28,25.94,3012.32 kWh
BLD-1344-PM,Commercial,Cairo,_32Heliopolis,TuEsday,High,Medium,13357m2,2024-08-26,,4114.7 kWh
BLD-1345-HE,Commercial,Giza,Dokki*37,saturDAY,Medium,High,25326,2020-08-14,37.3,4310.2 kWh
BLD-1346-UW,Commercial,,&Mohandessin77,Saturday,Low,Low,47178m2,2021-03-25,32.95,4828.19 kWh
BLD-1347-AY,Commercial,Giza,Dokki-54,SATURDAY,High,High,31695m2,2023-03-17,35.01,5132.23 kWh
BLD-1348-YD,Industrial,Cairo,_New Cairo91,saturDAY,Medium,High,32321m2,2022-08-16,39.97,5432.11 kWh
BLD-1349-YN,Commercial,Cairo,@New Cairo65,monDAY,High,High,4994m2,2022-02-21,31.53,3701.73 kWh
BLD-1350-HF,Industrial,Giza,*Mohandessin89,saturDAY,Medium,Low,32390m2,2023-07-02,38.85,4504.03 kWh
BLD-1351-ZW,Industrial,Alexandria,%Smouha42,FRIDAY,High,Low,31178m2,2024-03-17,45.85,4787.64 kWh
BLD-1352-QO,Residential,,+Maadi7,TUESDAY,Low,High,39563m2,2022-06-22,,4304.63 kWh
BLD-1353-BR,Commercial,Giza,^Dokki97,SaturDay,High,High,11041m2,2023-01-01,33.29,3947.63 kWh
BLD-1354-HD,Residential,,=59Dokki,tuesDAY,Low,Medium,22859,2020-01-01,29.35,3208.61 kWh
BLD-1355-OE,Residential,Alexandria,+79Smouha,friday,Medium,High,41309m2,2023-08-08,35.94,4988.44 kWh
BLD-1356-ZO,Residential,,Maadi,monday,Low,Low,18655m2,2022-05-18,26.31,2716.66 kWh
BLD-1357-VQ,Residential,Cairo,Maadi,MonDay,High,High,9212m2,2023-09-27,29.28,3392.31 kWh
BLD-1358-RT,Residential,Cairo,Heliopolis,SATURDAY,Low,Medium,21195m2,2020-01-01,30.09,3078.96 kWh
BLD-1359-KY,Industrial,Alexandria,&9Gleem,Wednesday,Low,Medium,35332,2022-02-06,36.79,4997.78 kWh
BLD-1360-OT,Residential,Giza,Mohandessin,SUNDAY,Low,Low,38641m2,2020-02-03,33.48,3484.46 kWh
BLD-1361-XQ,Commercial,Giza,Mohandessin+86,SUNDAY,Medium,Low,25074m2,2021-10-03,40.56,3891.86 kWh
BLD-1362-NR,Commercial,Alexandria,!Gleem89,Sunday,Low,Low,9077m2,2020-01-01,26.8,2862.17 kWh
BLD-1363-OF,Residential,Cairo,+58New Cairo,SaTurday,High,High,12222m2,2021-10-12,33.11,3510.28 kWh
BLD-1364-XP,Industrial,Giza,Mohandessin,SATURDAY,Medium,Low,15849m2,2022-12-03,36.62,3867.85 kWh
BLD-1365-OI,,Alexandria,Gleem#17,Tuesday,Low,High,19629,2021-05-21,,3459.59 kWh
BLD-1366-YH,Industrial,Giza,%Mohandessin22,MonDay,Medium,Medium,48424m2,2024-12-31,47.49,5961.49 kWh
BLD-1367-UI,Industrial,Giza,(Mohandessin96,Monday,Medium,Medium,12682m2,2021-03-05,36.07,4271.39 kWh
BLD-1368-YY,Residential,Cairo,=19Heliopolis,monday,High,Low,26431m2,2020-02-21,34.36,3932.59 kWh
BLD-1369-QP,Industrial,,Dokki(45,Wednesday,Medium,Low,6126m2,2020-01-01,27.85,3514.09 kWh
BLD-1370-UH,Commercial,Alexandria,^Smouha86,FRIDAY,Medium,Low,27411m2,2022-01-18,34.59,4023.41 kWh
BLD-1371-IO,,Cairo,New Cairo!29,TuEsday,High,Medium,20475,2023-12-16,38.77,4354.25 kWh
BLD-1372-CW,,Alexandria,Gleem,sunDAY,High,Medium,37708,2023-12-05,50.0,5607.7 kWh
BLD-1373-JH,Residential,Giza,Dokki,Wednesday,Low,High,46786m2,2022-08-08,,4891.8 kWh
BLD-1374-IK,Industrial,Cairo,Maadi,MONDAY,High,High,29787m2,2024-12-31,50.0,5416.01 kWh
BLD-1375-KR,Residential,Alexandria,Gleem%72,THursday,Medium,High,42286m2,2023-04-08,35.89,4808.64 kWh
BLD-1376-CE,Commercial,Alexandria,Gleem^34,Sunday,Low,Medium,38404,2022-11-06,42.03,4608.27 kWh
BLD-1377-EH,Residential,Alexandria,_Smouha80,MonDay,High,Low,36272,2021-02-13,36.73,4253.4 kWh
BLD-1378-MW,Commercial,Alexandria,Gleem,tuesDAY,Medium,High,36296,2021-05-13,49.48,4854.25 kWh
BLD-1379-EW,,Alexandria,%Smouha94,saturday,High,Low,27458m2,2023-02-16,32.97,4367.45 kWh
BLD-1380-GC,Residential,Giza,Mohandessin=8,sunDAY,Medium,Medium,13484,2022-10-06,23.9,2924.6 kWh
BLD-1381-NN,Industrial,Cairo,New Cairo,SuNday,Medium,Medium,14129m2,2020-10-12,32.84,4193.77 kWh
BLD-1382-KR,Commercial,Alexandria,Smouha-58,SUNDAY,High,Medium,11206m2,2023-10-12,22.85,3689.04 kWh
BLD-1383-ON,Commercial,,^New Cairo30,saturDAY,Low,High,47266m2,2024-01-08,39.48,5212.64 kWh
BLD-1384-BG,Commercial,Cairo,&Heliopolis16,saturDAY,Low,High,18278m2,2020-05-02,29.07,3701.68 kWh
BLD-1385-NM,Commercial,Cairo,New Cairo&45,THURSDAY,Medium,Medium,45641,2022-04-19,,5082.68 kWh
BLD-1386-YS,Industrial,,Heliopolis,WEDNESDAY,Low,Medium,5471m2,2020-11-03,-0.8,3601.86 kWh
BLD-1387-WA,Industrial,Alexandria,&31Smouha,SuNday,Medium,High,24942,2024-06-03,47.44,4753.3 kWh
BLD-1388-YS,Residential,Alexandria,$Smouha48,thursDAY,High,Low,8064m2,2021-10-20,32.36,2989.05 kWh
BLD-1389-MP,Residential,,_Mohandessin86,THursday,Medium,Medium,37480m2,2020-09-27,32.81,4172.54 kWh
BLD-1390-AL,,Alexandria,Gleem,saturDAY,High,Medium,18797,2020-09-18,32.01,4278 kWh
BLD-1391-JY,Commercial,,@Smouha18,Sunday,Medium,Low,24589m2,2022-07-08,34.59,3683.59 kWh
BLD-1392-MN,,,*87Dokki,wednESDAY,Medium,Low,15782m2,2020-08-20,25.35,3508.32 kWh
BLD-1393-RX,Residential,,Mohandessin,saturday,Medium,Low,46243,2021-08-24,45.0,4390.91 kWh
BLD-1394-XR,Residential,Giza,Dokki$65,tuesday,Low,Medium,27806,2022-09-19,36.63,3513.31 kWh
BLD-1395-ZT,Residential,Alexandria,Smouha,saturday,High,High,22973m2,2023-07-24,33.55,4213.66 kWh
BLD-1396-HP,Industrial,Alexandria,#Gleem25,wednesday,Medium,High,7811,2024-11-10,27.77,4184.21 kWh
BLD-1397-HI,Commercial,Cairo,Heliopolis*69,monDAY,Low,Low,9630m2,2021-10-06,33.4,2864.42 kWh
BLD-1398-NP,Residential,,Smouha(25,sunDAY,Low,Medium,45465,2022-10-16,35.38,4251.16 kWh
BLD-1399-AM,Residential,Alexandria,Smouha_55,Friday,High,Low,21107,2022-06-06,35.21,3241.57 kWh
BLD-1400-KV,Commercial,Cairo,(10Maadi,monDAY,Low,Medium,36987m2,2023-12-16,30.64,4562.64 kWh
BLD-1401-VZ,Industrial,Cairo,Heliopolis#29,SATURDAY,Medium,Low,22919,2023-08-24,33.8,4349.61 kWh
BLD-1402-MX,Residential,Alexandria,Smouha=66,friDAY,Low,Medium,35384m2,2024-06-23,34.58,4036.12 kWh
BLD-1403-FO,Residential,Giza,&2Mohandessin,SaturDay,High,Medium,32389m2,2020-07-30,-1.82,4543.67 kWh
BLD-1404-ET,Residential,Alexandria,+95Gleem,saturDAY,High,Low,43582m2,2021-12-09,35.93,4584.62 kWh
BLD-1405-RA,Industrial,,@64Dokki,WeDnesday,High,High,2122m2,2024-04-23,36.5,3897.02 kWh
BLD-1406-MS,Industrial,Alexandria,Smouha)44,sunday,Medium,Low,14169,2022-05-28,27.9,3736.5 kWh
BLD-1407-SV,Residential,Cairo,Maadi@20,ThursDay,Low,High,22374,2021-12-15,30.21,3437.53 kWh
BLD-1408-AC,Residential,Alexandria,Smouha,FRIday,High,Low,2490m2,2020-02-04,-2.6,2619.36 kWh
BLD-1409-UN,Industrial,,Mohandessin^44,saturDAY,High,Low,47554,2024-12-31,46.73,5628.95 kWh
BLD-1410-EO,Commercial,Alexandria,Gleem,Sunday,High,Medium,24374m2,2023-10-30,,4560.05 kWh
BLD-1411-FB,Commercial,Cairo,(79Maadi,SaTurday,Medium,High,11331m2,2024-01-02,-2.94,3791.04 kWh
BLD-1412-IM,Industrial,Giza,Dokki,Thursday,High,High,2060,2020-10-15,28.05,4099.62 kWh
BLD-1413-KG,Commercial,Alexandria,Gleem=75,ThursDay,Medium,Low,47537,2021-08-24,46.42,5023.85 kWh
BLD-1414-OK,Residential,Cairo,New Cairo@44,WEDNESDAY,High,Medium,29577m2,2023-04-07,37.96,4343.66 kWh
BLD-1415-KY,Commercial,Alexandria,(Smouha38,FRIday,Low,Low,39999,2021-03-21,34.19,4520.19 kWh
BLD-1416-MI,Commercial,Giza,Dokki,MoNday,High,High,22066m2,2023-10-18,46.3,4804.46 kWh
BLD-1417-YN,Industrial,Giza,Mohandessin,Wednesday,High,Medium,22451m2,2024-12-31,41.67,5100.56 kWh
BLD-1418-IC,Industrial,Alexandria,)40Smouha,MoNday,High,High,35136,2024-12-31,50.0,5866.63 kWh
BLD-1419-PA,Residential,Cairo,New Cairo,tuesday,High,Medium,39065,2023-04-16,38.86,4682.41 kWh
BLD-1420-XR,Commercial,Alexandria,Smouha(15,FRIday,Low,High,46393,2023-04-21,50.0,5341.65 kWh
BLD-1421-BL,Commercial,Alexandria,(12Smouha,saturday,Medium,Medium,42449m2,2021-07-04,48.0,4930.94 kWh
BLD-1422-HU,Industrial,Alexandria,Gleem,MONDAY,Medium,Medium,19046,2020-08-07,35.69,4399.73 kWh
BLD-1423-CY,Commercial,Alexandria,Gleem,SunDay,High,High,34219m2,2021-07-04,,5473.98 kWh
BLD-1424-UB,,Cairo,New Cairo@0,SaturDay,Low,Low,48780,2023-12-06,38.59,4218.29 kWh
BLD-1425-YA,Residential,Cairo,^Heliopolis35,SaturDay,High,High,1026,2021-06-14,,3375.62 kWh
BLD-1426-HG,Commercial,Alexandria,Gleem,SunDay,Low,Medium,21952m2,2022-02-18,29.18,3867.72 kWh
BLD-1427-AT,Commercial,Alexandria,Smouha,SATURDAY,Medium,Low,25451m2,2023-08-18,36.86,3909.07 kWh
BLD-1428-EH,Commercial,,Gleem#74,Sunday,Low,Medium,44379m2,2024-02-24,44.37,4852.28 kWh
BLD-1429-EP,Industrial,,Heliopolis,saturDAY,Medium,Low,40863m2,2024-12-31,32.27,4945.09 kWh
BLD-1430-VD,Residential,,%72Gleem,MONDAY,Medium,Low,21889m2,2023-05-25,-4.68,3350.09 kWh
BLD-1431-SG,Commercial,Alexandria,(96Smouha,Saturday,Medium,Low,49648m2,2024-12-31,31.73,5061.5 kWh
BLD-1432-OW,Commercial,,New Cairo,FRIday,Medium,Low,26643m2,2023-08-10,,3985.8 kWh
BLD-1433-IY,Residential,Giza,$Mohandessin12,Thursday,Low,Medium,8473m2,2021-01-28,27.93,2443.16 kWh
BLD-1434-LF,Industrial,Alexandria,-Gleem30,SuNday,High,Low,32588m2,2021-04-19,47.37,5013.75 kWh
BLD-1435-TT,Industrial,,!Mohandessin6,Friday,High,Medium,27089m2,2021-12-22,40.54,4947.78 kWh
BLD-1436-XW,Residential,Alexandria,Gleem,SaturDay,Medium,High,34036,2023-09-15,43.71,4330.61 kWh
BLD-1437-DY,Industrial,Cairo,!51New Cairo,WEDNESDAY,High,Medium,17834,2021-04-21,30.38,4363.89 kWh
BLD-1438-FJ,Residential,Cairo,Maadi*11,Sunday,Medium,High,35060,2021-11-01,29.2,4408.36 kWh
BLD-1439-DS,Residential,Cairo,@49New Cairo,tuesDAY,Medium,Low,3842m2,2021-07-29,23.32,2260.82 kWh
BLD-1440-AJ,Residential,,Gleem,sunDAY,High,Low,25078,2022-09-25,34.6,3762.71 kWh
BLD-1441-SV,,Alexandria,^84Gleem,sunday,High,Low,2425,2022-03-25,26.81,2807.29 kWh
BLD-1442-MM,,,(Smouha80,Saturday,Low,Medium,3930m2,2020-01-01,-0.99,2613.53 kWh
BLD-1443-WG,Residential,,Smouha,WEDNESDAY,Medium,Medium,31086,2022-01-15,35.16,4197.59 kWh
BLD-1444-CS,Residential,Alexandria,Gleem,WednesDay,Low,High,31610,2020-01-01,28.01,3926.61 kWh
BLD-1445-WU,Residential,Cairo,Maadi,saturday,Medium,High,45141,2023-04-18,42.79,4879.42 kWh
BLD-1446-HD,Industrial,Alexandria,)46Smouha,Sunday,High,High,16085m2,2022-11-19,42.39,5034.91 kWh
BLD-1447-WY,Commercial,Cairo,Maadi&67,SunDay,Low,Low,43034,2022-09-02,-4.86,4550.69 kWh
BLD-1448-JV,,Alexandria,_Smouha25,FRIDAY,Medium,Medium,49189,2024-02-15,37.22,4839.29 kWh
BLD-1449-TZ,Commercial,Alexandria,Smouha_86,SATURDAY,Medium,Medium,13850m2,2021-03-24,26.83,3557.61 kWh
BLD-1450-DZ,Industrial,Alexandria,!Gleem11,monday,High,High,13095m2,2021-06-19,38.0,4637.71 kWh
